pkg1 file1 pkg2 file2 pairFreq clusterid expected
gacore gainterval.h genomebrowser/gbrender variantrenderer.h 4 4 false 
gbapp version.h appcore gapp.h 4 1 false 
genomebrowser gbmainwindow.h gacore gasourceregistry.h 4 0 false 
genomebrowser/gbrender label.h gacore gainterval.h 4 4 false 
package package_gb_mac.sh appcore gapp.h 4 1 false 
gacore gaproxydispatch.h gaserver gafeaturesresponder.h 4 3 false 
gbapp aboutdialog.h genomebrowser gbinterface.h 4 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender worker.h 4 3 false 
genomebrowser gbactionmanager.h gacore genomeassembly.h 4 0 false 
gacore gasourceregistry.h genomebrowser gbsourceitemmodel.h 4 3 false 
gacore asyncworker.h gaserver gafeaturesresponder.h 4 3 false 
genomebrowser gbrootstate.h genomebrowser/gbrender rendererbase.h 4 2 false 
gaserver gafeaturesresponder.h gacore bamhttpdevice.h 4 3 false 
gacore asyncworker.h gaserver gaserver.h 4 3 false 
genomebrowser gbprecomputemanager.h gacore asyncworker.h 4 3 false 
appcore logindialog.h genomebrowser gbadddialog.h 4 3 false 
gbapp notesdialog.h genomebrowser gbinterface.h 4 1 false 
genomebrowser gbdatanode.h gbapp standalonegb.h 4 1 false 
gacore genomeassembly.h ghicore abbreviate.h 4 7 false 
gbapp version.h genomebrowser gbdata.h 4 1 false 
genomebrowser gbactionmanager.h gbapp aboutdialog.h 4 0 false 
genomebrowser gbactionmanager.h gbapp notesdialog.h 4 0 false 
gacore gaglobal.h gaserver gafeaturesresponder.h 4 0 false 
gacore asyncworker.h genomebrowser gbdownloadwindow.h 4 0 false 
genomebrowser gbadddialog.h gbapp standalonegb.h 4 0 false 
gacore gainterval.h genomebrowser gbinterval.h 4 4 false 
gacore genomeassembly.h genomebrowser gbdata.h 4 0 false 
gacore gaproxydispatch.h genomebrowser gbsearchbox.h 3 3 false 
gacore filedownloadrunner.h genomebrowser gbdownloadwindow.h 3 6 false 
genomebrowser gbselectioncache.h gacore gasourceregistry.h 3 3 false 
gbapp viewer.h ghicore abbreviate.h 3 0 false 
downloadmanager downloadwidget.h gbapp standalonegb.h 3 1 false 
genomebrowser/gbrender config.h svs appversion.h 3 4 false 
gacore gainterval.h genomebrowser/gbrender worker.h 3 0 false 
gacore gaproxydispatch.h genomebrowser gbadddialog.h 3 3 false 
genomebrowser gbinterface.h downloadmanager downloadwidget.h 3 1 false 
gbapp version.h na make_lincommon.sh 3 1 false 
gbapp version.h genomebrowser/gbrender worker.h 3 0 false 
gacore genomeassembly.h gbapp viewer.h 3 0 false 
appcore gapp.h package package_gb_lin.sh 3 1 false 
genomebrowser gbprecomputemanager.h gacore gaproxydispatch.h 3 3 false 
gaserver gaserver.h genomebrowser gbdownloadwindow.h 3 0 false 
downloadmanager downloadnode.h gbapp standalonegb.h 3 1 false 
genomebrowser gbmessage.h genomebrowser/gbrender stackengine.h 3 9 false 
gbapp version.h appcore machineid.h 3 1 false 
genomebrowser gbadddialog.h gaserver gafeaturesresponder.h 3 3 false 
ghicore genotypecolumn.h svs goptionswidgetbase.h 3 8 false 
gacore asyncworker.h genomebrowser/gbrender worker.h 3 3 false 
svs apispreadsheet.h ghicore genotypecolumn.h 3 8 false 
genomebrowser gbadddialog.h genomebrowser/gbrender cytobandrenderer.h 3 3 false 
package package_gb_mac.sh gbapp standalonegb.h 3 1 false 
appcore aria2downloadmanager.h gbapp updaterbackend.h 3 10 false 
genomebrowser gbactionmanager.h gbapp project.h 3 0 false 
gacore gainterval.h genomebrowser/gbrender util.h 3 4 false 
svs recodegenotypeswindow.h genomebrowser gbsourceitemmodel.h 3 3 false 
genomebrowser gbmessagebox.h gbapp standalonegb.h 3 1 false 
package package_gb_lin.sh gbapp standalonegb.h 3 1 false 
genomebrowser gbdialog.h gbapp standalonegb.h 3 1 false 
gacore gasourceregistry.h genomebrowser gboptionsutil.h 3 3 false 
gaserver gaserver.h genomebrowser gbadddialog.h 3 3 false 
genomebrowser/gbrender genericrenderer.h genomebrowser gbplot.h 3 3 false 
gacore gafeaturereader.h genomebrowser gbsearchbox.h 3 3 false 
gaserver gaserver.h gacore bamhttpdevice.h 3 3 false 
genomebrowser gbmaincontrolset.h ghicore abbreviate.h 3 0 false 
ghicore dataset.h genomebrowser/gbrender stackengine.h 3 9 false 
genomebrowser gbmainwindow.h genomebrowser/gbrender util.h 3 0 false 
genomebrowser gbprecomputemanager.h gacore asyncworkerthread.h 3 3 false 
genomebrowser gbplotgroup.h gacore gasourceregistry.h 3 3 false 
genomebrowser/gbrender config.h gbapp version.h 3 0 false 
genomebrowser gbscalestate.h genomebrowser/gbrender rendererbase.h 3 2 false 
genomebrowser gbmainwindow.h gaserver gafeaturesresponder.h 3 0 false 
gacore genomeassembly.h gbapp standalonegb.h 3 0 false 
ghicore genotypecolumn.h svs genotypeassoc.h 3 8 false 
gbapp standalonegb.h genomebrowser gbmaincontrolset.h 3 0 false 
gaserver gafeaturesresponder.h genomebrowser gbdownloadwindow.h 3 0 false 
genomebrowser gbselectioncontrolset.h genomebrowser/gbrender rendererbase.h 3 2 false 
gbapp notesdialog.h genomebrowser gbdata.h 3 1 false 
gacore genomeassembly.h gbapp notesdialog.h 3 0 false 
genomebrowser/gbrender rendererbase.h genomebrowser gbplot.h 3 0 false 
gbapp standalonegb.h downloadmanager downloadmanager.h 3 1 false 
genomebrowser gbmaincontrolset.h gbapp project.h 3 0 false 
appcore machineid.h gbapp standalonegb.h 3 1 false 
genomebrowser gbplot.h genomebrowser/gbrender cytobandrenderer.h 3 3 false 
genomebrowser gbmessage.h ghicore dataset.h 3 9 false 
gacore asyncworker.h genomebrowser gbsearchbox.h 3 3 false 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender generenderer.h 24 0 true 
genomebrowser gbplotstate.h genomebrowser gbplot.h 20 3 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender cytobandrenderer.h 20 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender genericrenderer.h 20 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender genericrenderer.h 19 3 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender cytobandrenderer.h 19 3 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender cytobandrenderer.h 18 3 true 
genomebrowser/gbrender config.h genomebrowser/gbrender coveragerenderer.h 17 4 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileupdetail.h 16 4 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender scene.h 16 4 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender scene.h 16 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender config.h 16 4 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender variantrenderer.h 16 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender coveragerenderer.h 15 4 true 
genomebrowser gbmainwindow.h genomebrowser gbdata.h 15 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender config.h 15 4 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender pileupdetail.h 15 4 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender genericrenderer.h 15 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender config.h 15 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileuprenderer.h 14 3 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender cytobandrenderer.h 14 0 true 
genomebrowser gbplotgroupstate.h genomebrowser gbplotstate.h 14 0 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender pileuprenderer.h 14 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender config.h 14 4 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender config.h 14 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender coveragerenderer.h 14 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender coveragerenderer.h 14 4 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender generenderer.h 14 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender coveragerenderer.h 13 4 true 
genomebrowser/gbrender label.h genomebrowser/gbrender variantrenderer.h 13 4 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender coveragerenderer.h 13 4 true 
genomebrowser gbplotstate.h genomebrowser gbprecomputemanager.h 13 3 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender generenderer.h 13 3 true 
genomebrowser gbplot.h genomebrowser gbview.h 12 3 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender cytobandrenderer.h 12 0 true 
genomebrowser gbprecomputemanager.h genomebrowser gbplot.h 12 3 true 
genomebrowser gbplot.h genomebrowser gbdata.h 12 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileupdetail.h 12 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender genericrenderer.h 12 3 true 
genomebrowser gboptionsutil.h genomebrowser gbdata.h 12 0 true 
genomebrowser gbrootstate.h genomebrowser gbplot.h 11 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender coveragerenderer.h 11 0 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender pileupdetail.h 11 0 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender genericrenderer.h 11 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender config.h 11 4 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileuprenderer.h 11 0 true 
downloadmanager downloadnode.h downloadmanager aria2downloadprocess.h 11 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender genericrenderer.h 11 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender pileuprenderer.h 11 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender genericrenderer.h 11 0 true 
genomebrowser gbplotstate.h genomebrowser gbdata.h 11 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender seqrenderer.h 11 4 true 
genomebrowser gbrootstate.h genomebrowser gbview.h 11 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender rendererbase.h 11 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender cytobandrenderer.h 11 3 true 
genomebrowser gbzoommanager.h genomebrowser gbscalestate.h 11 2 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender pileupdetail.h 11 0 true 
genomebrowser gbplotgroup.h genomebrowser gbplot.h 11 3 true 
genomebrowser gbplot.h genomebrowser gbmessagewidget.h 11 3 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender generenderer.h 11 0 true 
genomebrowser/gbrender pileupdetail.h genomebrowser/gbrender cytobandrenderer.h 10 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender genericrenderer.h 10 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender generenderer.h 10 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender seqrenderer.h 10 0 true 
genomebrowser gbmainwindow.h genomebrowser gbview.h 10 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender coveragerenderer.h 10 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender generenderer.h 10 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender pileuprenderer.h 10 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender label.h 10 4 true 
genomebrowser gbplotgroupstate.h genomebrowser gbplot.h 10 0 true 
downloadmanager downloadmanager.h downloadmanager aria2downloadprocess.h 10 1 true 
downloadmanager downloadnode.h downloadmanager downloadmanager.h 10 1 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender pileupdetail.h 10 4 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender variantrenderer.h 10 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender cytobandrenderer.h 10 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender pileupdetail.h 10 4 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender pileupdetail.h 9 0 true 
genomebrowser gbmainwindow.h genomebrowser gbplot.h 9 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender config.h 9 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender cytobandrenderer.h 9 0 true 
genomebrowser gbselectioncache.h genomebrowser gbselectioncontrolset.h 9 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender pileupdetail.h 9 0 true 
genomebrowser gbplotgroup.h genomebrowser gbdata.h 9 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender seqrenderer.h 9 4 true 
gaserver gaserver.h gaserver gafeaturesresponder.h 9 3 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileuprenderer.h 9 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender pileupdetail.h 9 4 true 
gbapp version.h gbapp standalonegb.h 9 1 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender cytobandrenderer.h 9 3 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender rendererbase.h 9 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender variantrenderer.h 9 4 true 
genomebrowser gbplotgroupstate.h genomebrowser gbmainwindow.h 9 1 true 
genomebrowser gbplotgroupstate.h genomebrowser gbdata.h 9 1 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender coveragerenderer.h 9 4 true 
genomebrowser gbrootstate.h genomebrowser gbdata.h 9 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender worker.h 9 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender worker.h 9 0 true 
genomebrowser gbview.h genomebrowser gbdata.h 9 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender pileuprenderer.h 9 3 true 
genomebrowser gbplot.h genomebrowser gbplotrenderer.h 8 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender config.h 8 4 true 
genomebrowser gbscalestate.h genomebrowser gbplot.h 8 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileupagg.h 8 0 true 
genomebrowser gbmainwindow.h genomebrowser gbplotstate.h 8 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender cytobandrenderer.h 8 0 true 
genomebrowser gbrootstate.h genomebrowser gbplotstate.h 8 0 true 
genomebrowser gbrootstate.h genomebrowser gbmainwindow.h 8 0 true 
genomebrowser gbprecomputemanager.h genomebrowser gbdata.h 8 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender genericrenderer.h 8 0 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender pileupdetail.h 8 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender pileupdetail.h 8 4 true 
genomebrowser gbplotgroupstate.h genomebrowser gbprecomputemanager.h 8 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender cytobandrenderer.h 8 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender config.h 7 4 true 
genomebrowser gbplot.h genomebrowser gbselectioncache.h 7 3 true 
genomebrowser/gbrender util.h genomebrowser/gbrender generenderer.h 7 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileupagg.h 7 4 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender pileupagg.h 7 4 true 
genomebrowser gbplotview.h genomebrowser gbplotgroup.h 7 3 true 
genomebrowser/gbrender util.h genomebrowser/gbrender scene.h 7 4 true 
genomebrowser gbplotzoomer.h genomebrowser gbplot.h 7 3 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileupdetail.h 7 4 true 
genomebrowser/gbrender view.h genomebrowser/gbrender worker.h 7 3 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender util.h 7 0 true 
genomebrowser gbzoommanager.h genomebrowser gbplot.h 7 0 true 
genomebrowser gbrootstate.h genomebrowser gbplotgroup.h 7 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender coveragerenderer.h 7 4 true 
genomebrowser gbselectioncontrolset.h genomebrowser gbplot.h 7 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender pileuprenderer.h 7 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender pileupagg.h 7 4 true 
genomebrowser/gbrender util.h genomebrowser/gbrender genericrenderer.h 7 0 true 
downloadmanager aria2rpcaction.h downloadmanager downloadnode.h 7 1 true 
genomebrowser gbscalestate.h genomebrowser gbplotrenderer.h 7 2 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender pileuprenderer.h 7 3 true 
downloadmanager aria2rpcaction.h downloadmanager aria2downloadprocess.h 7 1 true 
genomebrowser gbplotgroup.h genomebrowser gbview.h 7 3 true 
genomebrowser gbrootstate.h genomebrowser gbplotzoomer.h 7 0 true 
genomebrowser gbinputhandler.h genomebrowser gbplotzoomer.h 7 3 true 
genomebrowser gbactionmanager.h genomebrowser gbdata.h 6 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender generenderer.h 6 0 true 
genomebrowser/gbrender view.h genomebrowser/gbrender variantrenderer.h 6 0 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender label.h 6 4 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender cytobandrenderer.h 6 0 true 
genomebrowser gbplotstate.h genomebrowser gbplotgroup.h 6 3 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender config.h 6 4 true 
gacore asyncworker.h gacore gafeaturereader.h 6 3 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender pileuprenderer.h 6 0 true 
genomebrowser gbplotzoomer.h genomebrowser gbview.h 6 3 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender rendererbase.h 6 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender coveragerenderer.h 6 4 true 
genomebrowser gb.h genomebrowser gbdata.h 6 1 true 
genomebrowser gbplotstate.h genomebrowser gbview.h 6 3 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender config.h 6 4 true 
genomebrowser/gbrender config.h genomebrowser/gbrender view.h 6 0 true 
genomebrowser/gbrender view.h genomebrowser/gbrender genericrenderer.h 6 3 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender genericrenderer.h 6 0 true 
gacore gasourceinfo.h gacore gasourceregistry.h 6 3 true 
gacore asyncworker.h gacore gasourceregistry.h 6 3 true 
gacore gaproxydispatch.h gacore gasourceregistry.h 6 3 true 
gbapp version.h gbapp accountapi.h 6 1 true 
genomebrowser gbplotcanvas.h genomebrowser gbplotrenderer.h 6 2 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender generenderer.h 6 3 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender variantrenderer.h 6 4 true 
genomebrowser gbmainwindow.h genomebrowser gbprecomputemanager.h 6 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender variantrenderer.h 6 4 true 
genomebrowser gbactionmanager.h genomebrowser gbmaincontrolset.h 6 5 true 
genomebrowser gbplotstate.h genomebrowser gbscalestate.h 6 0 true 
genomebrowser gbzoommanager.h genomebrowser gbplotrenderer.h 6 2 true 
gbapp updaterbackend.h gbapp standalonegb.h 6 0 true 
genomebrowser gbmainwindow.h genomebrowser gb.h 6 1 true 
genomebrowser gbmainwindow.h genomebrowser gbplotgroup.h 6 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender seqrenderer.h 6 4 true 
genomebrowser gbprecomputemanager.h genomebrowser gbmessage.h 5 0 true 
genomebrowser gbmainwindow.h genomebrowser gbselectionmanager.h 5 1 true 
genomebrowser gbselectioncontrolset.h genomebrowser gbcontrolpanel.h 5 2 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender coveragerenderer.h 5 4 true 
genomebrowser gbrootstate.h genomebrowser gblandmarkview.h 5 2 true 
genomebrowser gbplotzoomer.h genomebrowser gbplotgroup.h 5 3 true 
genomebrowser gbmainwindow.h genomebrowser gboptionsutil.h 5 0 true 
downloadmanager downloadwindow.h downloadmanager aria2downloadprocess.h 5 1 true 
genomebrowser/gbrender view.h genomebrowser/gbrender generenderer.h 5 3 true 
downloadmanager aria2rpcaction.h downloadmanager downloadmanager.h 5 1 true 
genomebrowser gbplotstate.h genomebrowser gbplotrenderer.h 5 0 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender label.h 5 0 true 
gacore gaproxydispatch.h gacore gafeaturereader.h 5 3 true 
genomebrowser gbmainwindow.h genomebrowser gbadddialog.h 5 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender rendererbase.h 5 0 true 
genomebrowser gbscalestate.h genomebrowser gbview.h 5 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender renderparams.h 5 3 true 
genomebrowser gbinputhandler.h genomebrowser gbplot.h 5 3 true 
genomebrowser gbplotview.h genomebrowser gboptionsutil.h 5 3 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender variantrenderer.h 5 0 true 
package package_gb_win.sh package package_gb_lin.sh 5 1 true 
genomebrowser gbadddialog.h genomebrowser gbdata.h 5 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender stackengine.h 5 0 true 
genomebrowser gbplotzoomer.h genomebrowser gbmainwindow.h 5 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender label.h 5 4 true 
genomebrowser gbcontroltree.h genomebrowser gbplotgroup.h 5 3 true 
genomebrowser/gbrender util.h genomebrowser/gbrender cytobandrenderer.h 5 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender config.h 5 0 true 
genomebrowser gbrootstate.h genomebrowser gbscalestate.h 5 2 true 
gbapp standalonegb.h gbapp notesdialog.h 5 1 true 
genomebrowser gbrootstate.h genomebrowser gbstate.h 5 2 true 
genomebrowser gbplotview.h genomebrowser gbview.h 5 3 true 
gbapp loginwindow.h gbapp standalonegb.h 5 1 true 
genomebrowser/gbrender util.h genomebrowser/gbrender pileupagg.h 5 4 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender bamutil.h 5 4 true 
genomebrowser gbmessage.h genomebrowser gbplot.h 5 0 true 
gacore asyncworker.h gacore precomputerunner.h 5 3 true 
genomebrowser/gbrender label.h genomebrowser/gbrender pileuprenderer.h 5 0 true 
genomebrowser gbplotgroup.h genomebrowser gboptionsutil.h 5 3 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender renderparams.h 5 0 true 
genomebrowser gbplotstate.h genomebrowser gbstate.h 5 0 true 
genomebrowser gbselectionmanager.h genomebrowser gbplot.h 5 0 true 
genomebrowser gbplotgroupstate.h genomebrowser gbadddialog.h 5 0 true 
genomebrowser gbselectionmanager.h genomebrowser gbplotgroup.h 5 0 true 
genomebrowser gbconsole.h genomebrowser gbcontroltree.h 5 3 true 
genomebrowser/gbrender label.h genomebrowser/gbrender pileupdetail.h 5 4 true 
genomebrowser gbactionmanager.h genomebrowser gbinterface.h 5 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender pileuprenderer.h 5 0 true 
genomebrowser/gbrender rect.h genomebrowser/gbrender config.h 5 4 true 
gacore gafeaturereader.h gacore gasourceregistry.h 5 3 true 
genomebrowser gbplotgroupstate.h genomebrowser gbplotgroup.h 5 0 true 
genomebrowser gbprecomputemanager.h genomebrowser gbmessagewidget.h 5 3 true 
downloadmanager downloadnode.h downloadmanager downloadwindow.h 5 1 true 
genomebrowser gbselectionmanager.h genomebrowser gbview.h 5 0 true 
downloadmanager downloadgroup.h downloadmanager downloadwidget.h 5 1 true 
genomebrowser gbplotcanvas.h genomebrowser gbplot.h 5 0 true 
genomebrowser gbplotview.h genomebrowser gbdata.h 5 0 true 
genomebrowser/gbrender view.h genomebrowser/gbrender cytobandrenderer.h 5 3 true 
gbapp standalonegb.h gbapp accountapi.h 5 1 true 
gacore asyncworker.h gacore gaproxydispatch.h 5 3 true 
genomebrowser gbsourcemanager.h genomebrowser gbdata.h 4 1 true 
genomebrowser/gbrender view.h genomebrowser/gbrender pileupdetail.h 4 0 true 
genomebrowser gbselectioncache.h genomebrowser gbdata.h 4 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender util.h 4 4 true 
genomebrowser gbmessage.h genomebrowser gbdata.h 4 0 true 
genomebrowser gblandmarkview.h genomebrowser gblandmarknavigator.h 4 2 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender view.h 4 0 true 
genomebrowser gbplotstate.h genomebrowser gboptionsutil.h 4 3 true 
genomebrowser/gbrender renderparams.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
svs samplestatswindow.h svs goptionswidgetbase.h 4 8 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender sequtil.h 4 4 true 
genomebrowser gbview.h genomebrowser gbselectionaction.h 4 3 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender pileupagg.h 4 0 true 
genomebrowser gbplotgroup.h genomebrowser gblandmarknavigator.h 4 0 true 
genomebrowser gbplot.h genomebrowser gblandmarknavigator.h 4 0 true 
genomebrowser/gbrender renderparams.h genomebrowser/gbrender pileuprenderer.h 4 3 true 
genomebrowser gbselectionmanager.h genomebrowser gbplotzoomer.h 4 0 true 
genomebrowser gbplotgroup.h genomebrowser gbselectioncache.h 4 3 true 
genomebrowser gbmessagebutton.h genomebrowser gbmessagewidget.h 4 3 true 
genomebrowser gbcontroltree.h genomebrowser gbselectioncache.h 4 3 true 
package package_gb_win.sh package package_gb_mac.sh 4 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender sequtil.h 4 4 true 
genomebrowser gbviewstate.h genomebrowser gbdatanode.h 4 1 true 
genomebrowser/gbrender intensityrenderer.h genomebrowser/gbrender pileuprenderer.h 4 3 true 
genomebrowser gbstate.h genomebrowser gb.h 4 0 true 
