pkg1 file1 pkg2 file2 pairFreq clusterid expected
genomebrowser gbmainwindow.h gbapp standalonegb.h 18 1 false 
genomebrowser/gbrender rendererbase.h genomebrowser gbplotrenderer.h 10 2 false 
gbapp standalonegb.h genomebrowser gbdata.h 10 1 false 
gacore gafeaturereader.h gaserver gafeaturesresponder.h 9 3 false 
genomebrowser gbmainwindow.h gbapp version.h 8 1 false 
gaserver gaserver.h gacore gafeaturereader.h 7 3 false 
genomebrowser gb.h gbapp standalonegb.h 7 1 false 
gbapp standalonegb.h genomebrowser gbinterface.h 7 1 false 
gacore gasourceregistry.h gaserver gafeaturesresponder.h 7 3 false 
gacore gasourceregistry.h gbapp standalonegb.h 6 0 false 
genomebrowser/gbrender config.h gacore gainterval.h 5 4 false 
genomebrowser gbactionmanager.h gbapp viewer.h 5 5 false 
gacore gasourceregistry.h genomebrowser gbadddialog.h 5 3 false 
gaserver gaserver.h gacore gasourceregistry.h 5 3 false 
genomebrowser gbmainwindow.h gbapp accountapi.h 5 1 false 
genomebrowser gbplotgroupstate.h gbapp standalonegb.h 5 1 false 
gacore gaproxydispatch.h gaserver gaserver.h 5 3 false 
appcore gapp.h gbapp standalonegb.h 5 1 false 
gbapp viewer.h genomebrowser gbdata.h 5 0 false 
genomebrowser/gbrender rect.h gacore gainterval.h 5 4 false 
genomebrowser gbdownloadwindow.h gacore gaglobal.h 5 6 false 
gacore genomeassembly.h genomebrowser gbutil.h 5 7 false 
genomebrowser gbactionmanager.h gbapp standalonegb.h 5 0 false 
genomebrowser gbdata.h gacore gasourceregistry.h 5 0 false 
genomebrowser gbplot.h gacore gasourceregistry.h 4 3 false 
genomebrowser/gbrender generenderer.h genomebrowser gbplot.h 4 3 false 
ghicore genotypecolumn.h svs samplestatswindow.h 4 8 false 
gacore httputil.h genomebrowser gbmainwindow.h 4 1 false 
gbapp accountapi.h gacore httputil.h 4 1 false 
gbapp project.h genomebrowser gbdata.h 4 1 false 
gbapp version.h genomebrowser gb.h 4 1 false 
genomebrowser gbmaincontrolset.h gbapp viewer.h 4 5 false 
